Original,Mapped
Хозяйственные услуги,Прочие расходы
Амортизация,Амортизация основных средств
Расходы по аренде автотранспорта,Прочие расходы
Аренда гаражей и стоянок,Прочие расходы
Расходы по аренде помещений,Прочие расходы
Расходы по аренде прочего имущества,Прочие расходы
"Бланки, карты, журналы медицинские",Материальные производственные расходы
Вакцина,Материальные производственные расходы
Водоснабжение и канализация,Прочие расходы
Вывоз мусора,Прочие расходы
ГСМ для а/м,Прочие расходы
Дератизация и дезинсекция,Прочие расходы
ДМС работников (3% от ФОТ),ДМС работников (3% от ФОТ)
"Услуги доставки, тарнспортировки грузов",Прочие расходы
Интернет и передача данных,Прочие расходы
Канцелярские товары,Материальные производственные расходы
Командировочные,Прочие расходы
Компенсация проезда к местам отдыха (льготный проезд),Прочие расходы
Медикаменты,Материальные производственные расходы
Медицинский инструментарий и прочий инвентарь многоразового использования,Материальные производственные расходы
Метрология,Прочие расходы
Моющие и дезинфицирующие средства,Материальные производственные расходы
Мягкий инвентарь,Материальные производственные расходы
Расходы на обучение,Прочие расходы
Оплата труда,Заработная плата
Организация питания (в санаторно-профилактических учреждениях),Прочие расходы
"Питание, проживание на вахте",Прочие расходы
Междугородные перевозки сотрудников к месту работы,Прочие расходы
Подбор персонала,Прочие расходы
Пожарная безопасность,Прочие расходы
Приобретение мед. оборудования (до 100 тыс. руб.),Материальные производственные расходы
Приобретение оргтехники (до 100 тыс. руб.),Материальные производственные расходы
Приобретение прочего. оборудования (до 100 тыс. руб.),Материальные производственные расходы
Прочие на содержание автотранспорта,Прочие расходы
Расходные материалы,Материальные производственные расходы
Расходные материалы ИТ,Материальные производственные расходы
"Реклама, продвижение",Прочие расходы
ТО и ремонт медицинского оборудования (материалы),Материальные производственные расходы
ТО и ремонт медицинского оборудования (услуги),Материальные производственные расходы
Ремонт и ТО автотранспорта,Прочие расходы
"Ремонт офисной мебели, оборудования общего назначения",Прочие расходы
Ремонт помещений,Прочие расходы
Техническое обслуживание системы вентиляции и кондиционирования,Прочие расходы
Сопровождение информационных систем,Прочие расходы
Специальная оценка условий труда,Прочие расходы
"Спец одежда, спец обувь",Материальные производственные расходы
"Прочие налоги, сборы, пошлины",Прочие расходы
Сторонние ЛПУ,Прочие расходы
Страхование автотранспорта,Прочие расходы
Страховые взносы,Заработная плата
Телефон и телефонные переговоры (в т.ч. сотовая связь),Прочие расходы
Тепловая энергия (отопление и горячая вода),Прочие расходы
ТО прочих коммунальных систем,Прочие расходы
"Уборка помещений, клининг",Прочие расходы
Уборка территории,Прочие расходы
Услуги по обслуживанию и ремонту оборудования ИТ,Прочие расходы
Услуги по обслуживанию и ремонту помещений ИТ,Прочие расходы
Услуги СЭС,Прочие расходы
Утилизация медицинских отходов,Прочие расходы
Электроэнергия,Прочие расходы
Замещение,Заработная плата
Вахтовые,Заработная плата
